의료기관명,주소
가인치과의원,강원특별자치도 강릉시 경강로 2091 (임당동)
한진규치과의원,강원특별자치도 강릉시 강릉대로 398 (포남동)
제일치과의원,강원특별자치도 강릉시 주문진읍 주문로 60
광제한의원,강원특별자치도 강릉시 주문진읍 매맥이윗길 2
강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38
이재홍정형외과의원,강원특별자치도 강릉시 옥가로 57 (교동)
박민형안과의원,"강원특별자치도 강릉시 경강로 2109, 4층 (임당동, 문선빌딩)"
서이비인후과의원,"강원특별자치도 강릉시 경강로 2109, 3층 (임당동, 문선빌딩)"
한은현치과의원,강원특별자치도 강릉시 옥가로 55 (교동)
김남동내과의원,강원특별자치도 강릉시 율곡로 2844 (옥천동)
이해욱성형외과의원,"강원특별자치도 강릉시 경강로 2109, 4층 (임당동, 문선빌딩)"
연세부부치과의원,"강원특별자치도 강릉시 경강로 2079, 4층 (임당동, 유암메디컬센터)"
동양한의원,강원특별자치도 강릉시 주문진읍 주문로 113-2
강릉원주대학교치과병원,강원특별자치도 강릉시 죽헌길 7 (지변동)
허치과의원,"강원특별자치도 강릉시 경강로 2084, 3층 (임당동)"
김환준치과의원,강원특별자치도 강릉시 경강로 2082 (임당동)
연세마취통증의학과의원,"강원특별자치도 강릉시 경강로 2110, 3층 (임당동, 동아빌딩)"
난소아청소년과의원,"강원특별자치도 강릉시 범일로 604, 2층 (내곡동, 하나로마트)"
최종운치과의원,강원특별자치도 강릉시 경강로 2093-1 (임당동)
이소아청소년과의원,강원특별자치도 강릉시 주문진읍 주문로 89
최정준성형외과의원,"강원특별자치도 강릉시 경강로 2110, 7층 (임당동, 동아빌딩)"
서울이비인후과의원,"강원특별자치도 강릉시 경강로 2102, 3층 (임당동, 신영빌딩)"
제중한의원,강원특별자치도 강릉시 금성로22번길 8 (금학동)
서울안과의원,"강원특별자치도 강릉시 경강로 2108, 3층 (임당동)"
함치과의원,"강원특별자치도 강릉시 경강로 2105, 3층 (임당동, 동아빌딩)"
장수한의원,강원특별자치도 강릉시 경강로 2203 (포남동)
중앙진단방사선과의원,강원특별자치도 강릉시 경강로 2083 (임당동)
신영치과의원,"강원특별자치도 강릉시 경강로 2100, 3층 (임당동, 신영빌딩)"
현대치과의원,"강원특별자치도 강릉시 하평길 46, 2층 (포남동)"
율곡한의원,강원특별자치도 강릉시 하평길 40 (포남동)
행복누리산부인과의원,강원특별자치도 강릉시 경강로 2109 (임당동)
하나산부인과의원,강원특별자치도 강릉시 강릉대로 385 (포남동)
연세플러스치과의원,강원특별자치도 강릉시 경강로 2117 (옥천동)
동의보감한의원,강원특별자치도 강릉시 금성로31번길 8 (성남동)
한솔내과의원,강원특별자치도 강릉시 하평길 46 (포남동)
한림정형외과의원,강원특별자치도 강릉시 주문진읍 주문로 64
한빛안과의원,강원특별자치도 강릉시 경강로 2102 (임당동)
세란신경과의원,"강원특별자치도 강릉시 경강로 2120, 5층 512호 (옥천동)"
김동일내과의원,"강원특별자치도 강릉시 교동광장로 145, 2층 (교동, 성심빌딩)"
연세소아청소년과의원,강원특별자치도 강릉시 금성로22번길 8 (금학동)
지남한의원,"강원특별자치도 강릉시 경강로 2120, 503호 (옥천동, 씨네몰)"
강릉한의원,강원특별자치도 강릉시 경강로2103번길 5 (임당동)
서울성형외과의원,"강원특별자치도 강릉시 경강로 2097, 4층 (임당동, 원영빌딩)"
수한의원,"강원특별자치도 강릉시 경강로 2100, 2층 (임당동, 신영빌딩)"
영동치과의원,강원특별자치도 강릉시 경강로 2106 (임당동)
세란재활의학과의원,"강원특별자치도 강릉시 경강로 2120, 5층 513호 (옥천동)"
성광용내과의원,강원특별자치도 강릉시 주문진읍 주문로 103
우리들내과의원,"강원특별자치도 강릉시 경강로 2079, 2,3층 (임당동, 유암빌딩)"
한빛한의원,강원특별자치도 강릉시 옥가로 19 (옥천동)
늘푸른한의원,강원특별자치도 강릉시 솔올로 44 (교동)
이가편한미치과의원,강원특별자치도 강릉시 경강로 2097 (임당동)
서울정형외과의원,"강원특별자치도 강릉시 경강로 2109, 4층 (임당동, 문선빌딩)"
조소아청소년과의원,강원특별자치도 강릉시 교동광장로 105 (교동)
손정형외과의원,강원특별자치도 강릉시 성덕포남로 189 (포남동)
이명호내과의원,"강원특별자치도 강릉시 솔올로5번길 40, 2층 (교동)"
한서한의원,"강원특별자치도 강릉시 솔올로5번길 52, 2층 (교동, 청호빌딩)"
홍익한의원,강원특별자치도 강릉시 하평3길 11 (포남동)
여정언산부인과의원,강원특별자치도 강릉시 경강로 2082 (임당동)
연세플러스비뇨기과의원,"강원특별자치도 강릉시 경강로 2110, 3층 (임당동, 동아빌딩)"
박유인소아청소년과의원,"강원특별자치도 강릉시 솔올로5번길 52, 2층 (교동, 청호빌딩)"
보리수의원,"강원특별자치도 강릉시 강변로 332, 2층 (노암동)"
소망치과의원,강원특별자치도 강릉시 교동광장로 105 (교동)
마미치과의원,"강원특별자치도 강릉시 경강로 2102, 3층 (임당동, 신영빌딩)"
델포이내과의원,강원특별자치도 강릉시 옥가로 52 (옥천동)
의료법인강릉성한의원,강원특별자치도 강릉시 금성로 10 (옥천동)
서울치과의원,강원특별자치도 강릉시 주문진읍 주문로 79-1
인성의원,강원특별자치도 강릉시 율곡로 2809 (옥천동)
화이트치과의원,강원특별자치도 강릉시 교동광장로 137 (교동)
서울피부과의원,강원특별자치도 강릉시 경강로2095번길 4 (임당동)
자화당중국한의원,강원특별자치도 강릉시 임영로 101-1 (성남동)
한솔한의원,강원특별자치도 강릉시 경강로 2110 (임당동)
제이치과의원,"강원특별자치도 강릉시 솔올로 17, 3층 (교동, 교동플라자)"
솔올이비인후과의원,강원특별자치도 강릉시 교동광장로 115 (교동)
임한의원,강원특별자치도 강릉시 성덕포남로 174 (포남동)
(의)아나의료재단 강릉아나병원,강원특별자치도 강릉시 용지로 129 (옥천동)
세원마취통증의원,강원특별자치도 강릉시 경강로 2120 (옥천동)
경희한사랑한의원,"강원특별자치도 강릉시 입암로 157, 2층 3호 (입암동)"
중인당한의원,강원특별자치도 강릉시 주문진읍 주문로 93
베스트안과의원,강원특별자치도 강릉시 경강로 2110 (임당동)
행복한소아청소년과의원,강원특별자치도 강릉시 성덕포남로182번길 46 (포남동)
다나의원,강원특별자치도 강릉시 월대산로 56-7 (입암동)
의료법인라파의료재단 예수요양병원,강원특별자치도 강릉시 옥계면 현내시장길 34
연세항운외과의원,"강원특별자치도 강릉시 경강로 2110, 4층 (임당동, 동아빌딩)"
우리예수의원,강원특별자치도 강릉시 옥계면 현내시장길 81
자연한의원,"강원특별자치도 강릉시 경강로 2097, 3층 (임당동)"
권한의원,"강원특별자치도 강릉시 금성로42번길 12, 2층 (금학동)"
푸른내과의원,강원특별자치도 강릉시 금성로22번길 10 (금학동)
김재권내과의원,"강원특별자치도 강릉시 경강로 2109, 3층 (임당동, 문선빌딩)"
강릉속편한내과의원,"강원특별자치도 강릉시 경강로 2089, 2층 (임당동)"
신통한의원,"강원특별자치도 강릉시 솔올로 17, 301호 (교동)"
강릉율곡병원,강원특별자치도 강릉시 동해대로3304번길 11 (난곡동)
영동마취통증의학과의원,"강원특별자치도 강릉시 경강로 2089 (임당동, 청암메디컬빌딩)"
상쾌한이비인후과의원,"강원특별자치도 강릉시 경강로 2108, 2층 (임당동)"
경희부부한의원,"강원특별자치도 강릉시 솔올로5번길 12-7, 3층 (교동)"
거북이한의원,"강원특별자치도 강릉시 경강로 2109, 2층 (임당동, 문선빌딩)"
도담도담소아청소년과의원,"강원특별자치도 강릉시 경강로 2109, 4층 (임당동, 문선빌딩)"
미소치과의원,"강원특별자치도 강릉시 성덕포남로 53, 204호 (입암동, 모닝프라자)"
성덕한의원,강원특별자치도 강릉시 성덕포남로 66 (입암동)
화인비뇨기과의원,"강원특별자치도 강릉시 경강로 2109, 2층 (임당동, 문선빌딩)"
은행나무한의원,"강원특별자치도 강릉시 금성로22번길 4, 2층 201호 (금학동)"
강남의원,강원특별자치도 강릉시 노가니길 31 (노암동)
자운영한의원,"강원특별자치도 강릉시 금성로42번길 2, 2층 (금학동)"
주문진중앙치과의원,강원특별자치도 강릉시 주문진읍 주문로 123
솔올한의원,강원특별자치도 강릉시 교동광장로 117 (교동)
본치과의원,"강원특별자치도 강릉시 입암로 157, 2층 (입암동, 제일빌딩)"
서울의원,강원특별자치도 강릉시 주문진읍 주문로 127
원플러스의원,강원특별자치도 강릉시 주문진읍 항구로 49
다올의원,"강원특별자치도 강릉시 주문진읍 주문로 123, 2층"
수치과의원,"강원특별자치도 강릉시 주문진읍 작은다리길 16, 2층"
박정빈외과의원,"강원특별자치도 강릉시 경강로 2109, 3층 (임당동, 문선빌딩)"
본정형외과의원,"강원특별자치도 강릉시 금성로 58, 2층 (금학동, 남전빌딩)"
e플러스치과의원,"강원특별자치도 강릉시 경강로 2120, 5층 (옥천동, 씨네몰)"
Dr. 신형직의 비타민 정신과의원,"강원특별자치도 강릉시 경강로 2109, 6층 (임당동, 문선빌딩)"
대동한의원,강원특별자치도 강릉시 난설헌로 182 (초당동)
유디치과의원,"강원특별자치도 강릉시 금성로 60, 3,4층 (성내동, 로얄빌딩)"
서울수이비인후과의원,"강원특별자치도 강릉시 경강로 2120, 5층 501,502호 (옥천동, 씨네몰)"
한기철내과의원,"강원특별자치도 강릉시 솔올로 25, 3층 (교동, 현진빌딩)"
강릉동양한의원,"강원특별자치도 강릉시 신대학길 23, 6층 (금학동)"
강릉연세정형외과의원,"강원특별자치도 강릉시 경강로 2082, 3층 (임당동)"
공군제18전비항공의무대대의원,강원특별자치도 강릉시 성덕로 334-34 (학동)
행복한내과의원,"강원특별자치도 강릉시 성덕포남로 66, 나동 3층 (입암동)"
금강의원,"강원특별자치도 강릉시 율곡로 2789, 2층 (성남동)"
연세신영내과의원,"강원특별자치도 강릉시 경강로 2102, 2층 (임당동, 신영빌딩)"
경희동의보감한의원,"강원특별자치도 강릉시 주문진읍 주문로 67-1, 2층"
세가온산부인과의원,강원특별자치도 강릉시 율곡로 2982-6 (교동)
정원치과의원,"강원특별자치도 강릉시 교동광장로 106, 5층 (교동, 화영빌딩)"
아라치과의원,강원특별자치도 강릉시 솔올로 25 (교동)
용한의원,강원특별자치도 강릉시 옥가로 56 (옥천동)
사임당 한의원,강원특별자치도 강릉시 토성로 125-1 (용강동)
노승현경희한의원,강원특별자치도 강릉시 임영로116번길 3 (성내동)
굿모닝치과의원,"강원특별자치도 강릉시 하평길 56, 2층 (포남동, 우호빌딩)"
햇살정신건강의학과의원,"강원특별자치도 강릉시 경강로 2110, 4층 (임당동, 동아빌딩)"
한솔치과의원,"강원특별자치도 강릉시 하평3길 37, 202호 (포남동, 일송상가)"
맑은샘가정의학과의원,강원특별자치도 강릉시 연당길 78 (초당동)
연세신경외과의원,강원특별자치도 강릉시 주문진읍 주문로 77
아이앤맘소아청소년과의원,"강원특별자치도 강릉시 옥가로 21, 3,7층 (옥천동)"
아이앤맘산부인과의원,"강원특별자치도 강릉시 옥가로 21, 4,5층 (옥천동)"
이지마취통증의학과의원,"강원특별자치도 강릉시 경강로 2108, 4층 (임당동)"
옥계한의원,강원특별자치도 강릉시 옥계면 현내시장길 71
아이조은치과의원,"강원특별자치도 강릉시 교동광장로 115, 3층 (교동)"
임수빈신경과의원,"강원특별자치도 강릉시 옥가로 21, 2층 (옥천동)"
솔빛안과의원,"강원특별자치도 강릉시 경강로 2120, 5층 518호 (옥천동)"
청담한의원,"강원특별자치도 강릉시 월대산로 60, 1층 (입암동)"
경희기운찬한의원,"강원특별자치도 강릉시 성덕포남로 45-8, 2층 203호 (입암동, 덕양빌딩)"
강릉바른이치과의원,강원특별자치도 강릉시 경강로 2092 (금학동)
뉴사랑심는치과의원,"강원특별자치도 강릉시 경강로 2109, 3층 (임당동, 문선빌딩)"
참사랑치과의원,"강원특별자치도 강릉시 경강로 2109, 2층 (임당동, 문선빌딩)"
참조은장치과의원,"강원특별자치도 강릉시 옥가로7번길 2, 1층 (옥천동)"
이화의원,강원특별자치도 강릉시 율곡로 2791 (성남동)
열린문한의원,"강원특별자치도 강릉시 주문진읍 시장길 38, 2층 203, 204호 (주문진중앙시장)"
강원도립강릉요양병원,강원특별자치도 강릉시 경강로 2007 (남문동)
경희삼대한의원,"강원특별자치도 강릉시 금성로31번길 5, 1층 (성남동)"
아이앤맘어린이치과의원,"강원특별자치도 강릉시 옥가로 21, 2층 (옥천동, 지산빌딩)"
세가온소아청소년과의원,"강원특별자치도 강릉시 율곡로 2982-6, 1층 (교동)"
맑은샘한의원,강원특별자치도 강릉시 연당길 78 (초당동)
중앙한의원,"강원특별자치도 강릉시 율곡로 2791, 1층 (성남동)"
강남마취통증의학과의원,"강원특별자치도 강릉시 신대학길 17, 강릉1번가 3층 307호 (금학동)"
서울에이스정형외과의원,"강원특별자치도 강릉시 금성로22번길 8, 2층 (금학동)"
심석인한의원,"강원특별자치도 강릉시 교동광장로 139, 2층 (교동)"
아산마취통증의학과의원,"강원특별자치도 강릉시 교동광장로 105, 3층 (교동)"
강릉성모안과의원,"강원특별자치도 강릉시 경강로 2089, 1층 (임당동)"
홍현일내과의원,"강원특별자치도 강릉시 경강로 2110, 3층 (임당동, 동아빌딩)"
단주한의원,"강원특별자치도 강릉시 하평길 31, 2층 (포남동)"
좋은하루내과의원,"강원특별자치도 강릉시 하평길 21, 2층 (포남동)"
윤덕기치과의원,"강원특별자치도 강릉시 주문진읍 주문로 67, 1층"
더나은정형외과의원,"강원특별자치도 강릉시 금성로 20, 2층 (금학동, 금학상가아파트)"
홍제부부한의원,"강원특별자치도 강릉시 토성로61번길 7, 1층 (홍제동)"
미소한의원,"강원특별자치도 강릉시 남부로 147, 2층 (노암동)"
강릉바른정형외과의원,"강원특별자치도 강릉시 경강로 2075, 3층 (임당동)"
청플러스비뇨기과의원,"강원특별자치도 강릉시 경강로 2110, 3층 (임당동)"
미시간치과의원,강원특별자치도 강릉시 금성로 58 (금학동)
퍼즐닥터의원,"강원특별자치도 강릉시 교동광장로 115, 2층 (교동)"
연세재활의학과의원,"강원특별자치도 강릉시 솔올로5번길 40, 3층 (교동)"
연세마디의원,"강원특별자치도 강릉시 경강로 2109, 6층 (임당동)"
혜현가정의학과의원,강원특별자치도 강릉시 주문진읍 주문로 113
지앤박치과의원,"강원특별자치도 강릉시 선수촌로 130, 2층 (유천동)"
스마일치과의원,강원특별자치도 강릉시 선수촌로 77 (홍제동)
강원도 고성군보건소,강원특별자치도 고성군 간성읍 수성로 30
죽왕면보건지소,강원특별자치도 고성군 죽왕면 심층수길 9 (죽왕면보건지소)
현내면보건지소,강원특별자치도 고성군 현내면 대진6길 20 (현내면보건지소)
해흥한의원,강원특별자치도 고성군 거진읍 거탄진로 123
도원보건진료소,강원특별자치도 고성군 토성면 사그메기길 5 (도원보건진료소)
용암보건진료소,강원특별자치도 고성군 토성면 장새미길 9 (용암보건진료소)
토성면보건지소,강원특별자치도 고성군 토성면 토성로 174 (토성면보건지소)
성천보건진료소,강원특별자치도 고성군 토성면 용원로 277 (성천보건진료소)
어천보건진료소,강원특별자치도 고성군 간성읍 어천1길 45-4 (어천보건진료소)
흘리보건진료소,강원특별자치도 고성군 간성읍 흘리길 190 (흘리보건진료소)
명파보건진료소,강원특별자치도 고성군 현내면 금강산로 814 (명파보건진료소)
송정보건진료소,강원특별자치도 고성군 거진읍 건봉사로 1511 (송정보건진료소)
산학보건진료쇼,강원특별자치도 고성군 현내면 산학2길 2-13 (산학보건진료소)
아야진보건지료소,강원특별자치도 고성군 토성면 아야진해변길 83 (아야진보건진료소)
서울의원,강원특별자치도 고성군 거진읍 거진길 20
호산한의원,강원특별자치도 고성군 간성읍 간성로 62
바른치과의원,강원특별자치도 고성군 간성읍 간성로 24
박희홍의원,강원특별자치도 고성군 거진읍 거탄진로 137
한림의원,강원특별자치도 고성군 간성읍 간성로 56
세브란의원,강원특별자치도 고성군 거진읍 거진시장길 11
고성우리한의원,강원특별자치도 고성군 거진읍 거탄진로 110
강치과의원,강원특별자치도 고성군 간성읍 간성로 34
명인치과의원,강원특별자치도 고성군 간성읍 간성로 50
제일의원,강원특별자치도 고성군 간성읍 간성로 24
중국한의원,강원특별자치도 고성군 간성읍 간성로 34
고성 좋은 치과의원,강원특별자치도 고성군 거진읍 거진길 37-1
우리내과의원,강원특별자치도 고성군 거진읍 거진길 38
유정형외과의원,강원특별자치도 고성군 거진읍 거진길 53
수안의원,강원특별자치도 고성군 간성읍 간성로 23
미소치과의원,강원특별자치도 고성군 간성읍 간성로 54-1 (수복상사)
고성군 건강생활지원센터,강원특별자치도 고성군 거진읍 벌평로 24
수강한의원,강원특별자치도 동해시 일출로 2-4 (발한동)
익수당한의원,강원특별자치도 동해시 중앙로 175 (천곡동)
동광한의원,강원특별자치도 동해시 발한로 204-1 (발한동)
은광약국,강원특별자치도 동해시 발한로 236-1 (발한동)
신신약국,강원특별자치도 동해시 일출로 88 (묵호진동)
광제약국,강원특별자치도 동해시 송정중앙로 59 (송정동)
금강약국,강원특별자치도 동해시 발한로 180 (발한동)
도미당약국,강원특별자치도 동해시 발한로 202-2 (발한동)
강원약국,강원특별자치도 동해시 중앙로 223 (천곡동)
현대프라자약국,강원특별자치도 동해시 향로복개로 2 (발한동)
동해시보건소,강원특별자치도 동해시 천곡로 100-2 (천곡동)
의료법인 동해동인병원,강원특별자치도 동해시 하평로 26 (평릉동)
근로복지공단 동해병원,강원특별자치도 동해시 하평로 11 (평릉동)
고헌주치과의원,강원특별자치도 동해시 발한로 206 (발한동)
태도치과의원,강원특별자치도 동해시 송정중앙로 11 (송정동)
박치과의원,강원특별자치도 동해시 천곡로 86-2 (천곡동)
오형균정형외과의원,강원특별자치도 동해시 발한로 104 (발한동)
옵티마북삼약국,강원특별자치도 동해시 지양길 2-1 (효가동)
희망약국,"강원특별자치도 동해시 천곡로 86-2, 110호 (천곡동, 대륜빌딩)"
한소아과의원,강원특별자치도 동해시 천곡로 56 (천곡동)
원강한의원,강원특별자치도 동해시 천곡로 55 (천곡동)
이신경과의원,강원특별자치도 동해시 천곡로 52 (천곡동)
심내과의원,"강원특별자치도 동해시 천곡로 50, 2층 (천곡동, 삼성빌딩)"
서외과의원,강원특별자치도 동해시 동해대로 5007 (효가동)
명진약국,강원특별자치도 동해시 발한로 69 (부곡동)
박원일마취통증의학과의원,강원특별자치도 동해시 공단1로 7-11 (구미동)
탁내과의원,"강원특별자치도 동해시 천곡로 68, 204호 (천곡동)"
백신경외과의원,강원특별자치도 동해시 동해대로 5461 (평릉동)
태화약국,강원특별자치도 동해시 중앙로 180 (천곡동)
하나약국,"강원특별자치도 동해시 삼화로 9-1 (이로동, 하나약국)"
최진희치과의원,강원특별자치도 동해시 대학로 20 (천곡동)
고산부인과의원,강원특별자치도 동해시 한섬로 125 (천곡동)
동서약국,강원특별자치도 동해시 오일장길 32 (북평동)
이이비인후과의원,"강원특별자치도 동해시 청운1길 51, 2층 (쇄운동, 백봉빌딩)"
천곡치과의원,강원특별자치도 동해시 한섬로 66 (천곡동)
이승재내과의원,강원특별자치도 동해시 동굴로 106 (천곡동)
장창수치과의원,강원특별자치도 동해시 천곡로 59-1 (천곡동)
성심의원,강원특별자치도 동해시 발한로 204 (발한동)
아름다운치과의원,"강원특별자치도 동해시 중앙로 223, 3층 302호 (천곡동, 그린빌딩)"
임내과의원,"강원특별자치도 동해시 효자남길 68, 2층동 (효가동)"
원플러스원비뇨기과의원,"강원특별자치도 동해시 천곡로 76, 3층 (천곡동, 다나빌딩)"
연세치과의원,강원특별자치도 동해시 중앙로 249 (천곡동)
김주선치과의원,강원특별자치도 동해시 발한로 63 (부곡동)
온누리성모약국,"강원특별자치도 동해시 청운1길 29, 1층 (동회동, 대동아파트 상가동)"
동해물약국,강원특별자치도 동해시 일출로 15 (발한동)
감초당한의원,강원특별자치도 동해시 발한로 213-1 (발한동)
동해정형외과의원,강원특별자치도 동해시 효자로 688 (효가동)
광제한의원,강원특별자치도 동해시 효자로 687-1 (효가동)
신소아청소년과의원,"강원특별자치도 동해시 효자로 691 (효가동, 동성프라자), 308, 309호"
파티마의원,"강원특별자치도 동해시 청운1길 29, 3층 (동회동, 대동현대쇼핑)"
한마음약국,강원특별자치도 동해시 효자로 691 (효가동)
보생약국,강원특별자치도 동해시 하평로 10 (평릉동)
영동약국,강원특별자치도 동해시 중앙로 237 (천곡동)
금강산약국,강원특별자치도 동해시 중앙로 231 (천곡동)
이화약국,강원특별자치도 동해시 한섬로 125 (천곡동)
한빛약국,강원특별자치도 동해시 중앙로 214 (천곡동)
홍제한의원,강원특별자치도 동해시 효자로 686-4 (효가동)
윤이비인후과의원,강원특별자치도 동해시 중앙로 237 (천곡동)
칠성한의원,강원특별자치도 동해시 중앙로 223 (천곡동)
한섬한의원,강원특별자치도 동해시 한섬로 61-1 (천곡동)
홍정안외과의원,"강원특별자치도 동해시 중앙로 237, 4층 (천곡동, 삼양골든상가)"
조은약국,강원특별자치도 동해시 하평로 14 (평릉동)
Dr. 하석우의 한사랑의원,"강원특별자치도 동해시 효자남길 16, 1층 (동회동, 월드상가)"
경희약손한의원,강원특별자치도 동해시 청운1길 52 (쇄운동)
이옥찬내과의원,강원특별자치도 동해시 중앙로 249 (천곡동)
참조은치과의원,강원특별자치도 동해시 중앙로 247 (천곡동)
중앙치과의원,"강원특별자치도 동해시 천곡로 68, 203호 (천곡동, 현대코아)"
영동치과의원,"강원특별자치도 동해시 효자남길 16, 2층 (동회동, 월드상가)"
할아버지한의원,강원특별자치도 동해시 중앙로 231 (천곡동)
연세의원,강원특별자치도 동해시 발한로 180 (발한동)
영동한의원,강원특별자치도 동해시 발한로 125 (발한동)
우리한의원,"강원특별자치도 동해시 동해대로 5007, 2층 (효가동)"
그레이스산부인과의원,"강원특별자치도 동해시 천곡로 86-2, 3층 (천곡동, 대륜빌딩)"
하나로약국,강원특별자치도 동해시 천곡로 48 (천곡동)
열린이비인후과의원,"강원특별자치도 동해시 천곡로 76, 2층 (천곡동)"
서울의원,강원특별자치도 동해시 한섬로 15 (천곡동)
박정형외과의원,강원특별자치도 동해시 동굴로 104 (천곡동)
정약국,"강원특별자치도 동해시 효자남길 16, 1층 (동회동, 월드상가)"
동해약천온천실버타운의원,강원특별자치도 동해시 석두골길 145 (망상동)
성모안과의원,강원특별자치도 동해시 천곡로 76 (천곡동)
굿모닝치과의원,"강원특별자치도 동해시 청운1길 50, 2층 (쇄운동)"
북평해맑은한의원,강원특별자치도 동해시 오일장1길 9 (구미동)
튼튼소아과의원,강원특별자치도 동해시 천곡로 86-2 (천곡동)
북평의원,강원특별자치도 동해시 전천로 303 (북평동)
누니부신피부과의원,강원특별자치도 동해시 천곡로 68 (천곡동)
해맑은약국,강원특별자치도 동해시 중앙로 249 (천곡동)
중앙제일한의원,강원특별자치도 동해시 천곡로 52 (천곡동)
이재웅성형외과의원,"강원특별자치도 동해시 천곡로 61, 2층 (천곡동)"
동해이레요양병원,강원특별자치도 동해시 덕골길 76-40 (천곡동)
한마음병원,강원특별자치도 동해시 중앙로 210 (천곡동)
메디칼25시약국,강원특별자치도 동해시 삼화로 16 (이로동)
동해한의원,"강원특별자치도 동해시 대학로 20, 501호 (천곡동, 명동빌딩)"
미소약국,강원특별자치도 동해시 청운1길 51 (쇄운동)
연세약국,"강원특별자치도 동해시 천곡로 68, 101호 (천곡동)"
삼화보건지소,"강원특별자치도 동해시 무릉1길 10 (이로동, 삼화동주민센터)"
하나통증의학과의원,강원특별자치도 동해시 중앙로 235 (천곡동)
